colors,description,images,price,product_info,rating,title
"Dusk Beige,Mauve,Sage Green","Available for Waist 19"" - 63"" | Petite - Tall,Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.,This product can also be worn as a maternity outfit.,Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.,We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.,SKU: WSRT54,---------------------------,100% COTTON,100% Cotton is the epitome of versatility and longevity. It is breathable and super absorbent, keeping you fresh all day. Cotton does not retain odor and has been a staple fabric for years.,It's good for your skin and the planet.","//cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-273010_160x.jpg?v=1625844335,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-734767_160x.jpg?v=1625844335,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-353930_160x.jpg?v=1625844335,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-623506_160x.jpg?v=1625844335,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-769585_160x.jpg?v=1625844335,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-191176_160x.jpg?v=1625844335,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-706707_160x.jpg?v=1625844335","₹3,200","Primary Fabric: 100% Cotton Corduroy,Pattern: Solid, Stripes,Color: Sage Green,Button Type: Shell,Style: Baggy, Pleated,Length: Mid-Thigh Length,High Rise waist,Half Elasticated Waist,This garment has Slash Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Comfort Fit,Exposed Zip at Front,Functional Specialty: Fold Up Hem",5.00,Sage Green Cotton Corduroy Baggy Shorts
,"Available for Waist 19"" - 63"" | Petite - Tall,A pair of short black boxers made of breathable cotton, printed in geometric Bagru print, and has pockets. What is more snug and cute? Pair it with a black top, and head out for a run on the beach!,Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.,Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.,We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.,SKU: WSRT18,---------------------------,BAGRU HAND BLOCK PRINT,Bagru hand-block printing originated from one of the most famous centers of hand block printing in Bagru, Rajasthan. Firstly, a plain bright fabric is tinted yellow using Harda powder. Then, natural colors such as red, black, and maroon are used for printing using carved wooden blocks.,The more blocks used, the more detailed the Bagru print is.,Read more about Bagru Hand-Block Print,Handmade - With Love, For You, By Us.","//cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-591242_160x.jpg?v=1625848026,//cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-815542_160x.jpg?v=1625848026,//cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-596026_160x.jpg?v=1625848026,//cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-468377_160x.jpg?v=1625848026,//cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-922827_160x.jpg?v=1625848026","₹2,140","Craft: Bagru Hand Block Print,Primary Fabric: 100% Cotton - Natural Dyed, Hand Block Printed in Bagru (Rajasthan),Pattern: Geometric,Color: Black,Button Type: Shell,Style: Short, Boxers,Length: Micro Length,Mid Rise waist,Full Elasticated Waist,This garment has Slash Pocket,Number of Pockets: 2,Garment Transparency: Translucent,Comfort Fit,Elasticized Drawstring at Waist",5.00,Black Elasticated Short Cotton Boxers
"Dusk Beige,Mauve,Sage Green","Available for Waist 19"" - 63"" | Petite - Tall,Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.,This product can also be worn as a maternity outfit.,Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.,We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.,SKU: WSRT54B,---------------------------,100% COTTON,100% Cotton is the epitome of versatility and longevity. It is breathable and super absorbent, keeping you fresh all day. Cotton does not retain odor and has been a staple fabric for years.,It's good for your skin and the planet.","//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-701908_160x.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-831988_160x.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-450708_160x.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-320004_160x.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-680357_160x.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-100693_160x.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-950871_160x.jpg?v=1625990578","₹3,200","Primary Fabric: 100% Cotton Corduroy,Pattern: Solid, Stripes,Color: Mauve,Button Type: Shell,Style: Baggy, Pleated,Length: Mid-Thigh Length,High Rise waist,Half Elasticated Waist,This garment has Slash Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Comfort Fit,Exposed Zip at Front,Functional Specialty: Fold Up Hem",0.00,Mauve Cotton Corduroy Baggy Shorts
"Dusk Beige,Mauve,Sage Green","Available for Waist 19"" - 63"" | Petite - Tall,Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.,This product can also be worn as a maternity outfit.,Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.,We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.,SKU: WSRT54A,---------------------------,100% COTTON,100% Cotton is the epitome of versatility and longevity. It is breathable and super absorbent, keeping you fresh all day. Cotton does not retain odor and has been a staple fabric for years.,It's good for your skin and the planet.","//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-226961_160x.jpg?v=1625992953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-687982_160x.jpg?v=1625992953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-996234_160x.jpg?v=1625992953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-623110_160x.jpg?v=1625992953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-204099_160x.jpg?v=1625992953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-282944_160x.jpg?v=1625992953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-419602_160x.jpg?v=1625992953","₹3,200","Primary Fabric: 100% Cotton Corduroy,Pattern: Solid, Stripes,Color: Dusk Beige,Button Type: Shell,Style: Baggy, Pleated,Length: Mid-Thigh Length,High Rise waist,Half Elasticated Waist,This garment has Slash Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Comfort Fit,Exposed Zip at Front,Functional Specialty: Fold Up Hem",0.00,Dusk Beige Cotton Corduroy Baggy Shorts
,"Available for Waist 19"" - 63"" | Petite - Tall,These mid-rise short shorts are a skirt in disguise. A straight fit, inseam pockets, elasticated back, and room to bare your legs, they're comfy and breezy. A belt at the waist and Sanganeri block print just make these prettier. Pair them with a green or peach camisole top, and you're sure to look your best this summer!,Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.,Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.,We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.,SKU: WSRT9,---------------------------,SANGANERI HAND BLOCK PRINT,Sanganeri hand-block printing originated 5 centuries ago in Sanganer, a village near Jaipur, Rajasthan. Wooden blocks are used to hand-print the pattern on the fabric directly.,More the blocks used, more detailed these block print clothes are.,Read more about Sanganeri Hand-Block Print,Handmade - With Love, For You, By Us.","//cdn.shopify.com/s/files/1/0534/2501/2925/products/straight-fit-belted-short-shorts-short-short-889155_160x.jpg?v=1625849414,//cdn.shopify.com/s/files/1/0534/2501/2925/products/straight-fit-belted-short-shorts-short-short-182816_160x.jpg?v=1625849414,//cdn.shopify.com/s/files/1/0534/2501/2925/products/straight-fit-belted-short-shorts-short-short-196280_160x.jpg?v=1625849414,//cdn.shopify.com/s/files/1/0534/2501/2925/products/straight-fit-belted-short-shorts-short-short-815533_160x.jpg?v=1625849414,//cdn.shopify.com/s/files/1/0534/2501/2925/products/straight-fit-belted-short-shorts-short-short-987011_160x.jpg?v=1625849414","₹3,690","Craft: Sanganeri Hand Block Print,Primary Fabric: 100% Cotton - Azo-Free Dyed, Hand Block Printed in Sanganer (Rajasthan),This is a lined garment,Pattern: Floral, Contemporary,Color: White, Peach,Button Type: Shell,Lace: Block-Printed Lace,Style: Short, Straight,Length: Micro Length,Mid Rise waist,Half Elasticated Waist, Attached Belt at Waist,This garment has Inseam Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Relaxed Fit,Exposed Zip at Center Front",0.00,Block Printed Mid-Rise Elasticated Shorts
,"Available for Waist 19"" - 63"" | Petite - Tall,Heading out for brunch in the summer heat? It can't get comfier than our flared shorts. Fully elasticated at the waist for ease of wearing, it is natural-dyed using the hand-lep Dabu technique, which makes it skin-friendly. Complete with spacious slash pockets for all your stuff, pair it up with a white camisole and slide sandals to let your skin breathe.,Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.,Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.,We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.,SKU: WSRT22,---------------------------,DABU HAND-LEP PRINT  ,Lep is Hindi for coating. Hand lep printing is a technique in which the fabric is coated with mud for three days. Then, indigo dye is applied over the mud, and the color seeps through this coating and its cracks. The fabric is then washed to reveal the beautifully dyed cloth.,Read more about Hand-Lep Dabu Technique,Handmade - With Love, For You, By Us.","//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-193530_160x.jpg?v=1625847290,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-131156_160x.jpg?v=1625847290,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-240543_160x.jpg?v=1625847290,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-982308_160x.jpg?v=1625847290,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-140936_160x.jpg?v=1625847290,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-333072_160x.jpg?v=1625847290","₹3,390","Craft: Dabu Hand-Lep Print,Primary Fabric: 100% Cotton - Natural Dyed, Hand Lep-ed in Bagru (Rajasthan),This garment is Hand Embroidered,Pattern: Solid, Contemporary,Color: Beige,Style: Flared,Length: Mid-Thigh Length,High Rise waist,Full Elasticated Waist,This garment has Slash Pocket, Rounded Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Relaxed Fit",5.00,Beige Dabu Print Cotton Flared Shorts
Melon Orange,"Available for Waist 19"" - 63"" | Petite - Tall,Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.,Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.,We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.,SKU: WSRT46A,---------------------------,HAND MIRROR WORK,Native to the village of Kutch in Gujarat, Hand Mirror Work is also known as Kutch Embroidery. In this, the garments are embellished with tiny mirrors.,We use it in a minimalistic way to decorate outfits with a touch of elegance. You'll find round-shaped mirrors in most of our Hand Mirror Work outfits.,Handmade - With Love, For You, By Us.","//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-828968_160x.jpg?v=1626279953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-593333_160x.jpg?v=1626279953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-712699_160x.jpg?v=1626279953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-402935_160x.jpg?v=1626279953","₹2,610","Primary Fabric: 100% Cotton Muslin - Yarn Dyed, Azo-Free Dyed, Handspun, Hand Woven in Murshidabad (West Bengal),Pattern: Solid,Color: Melon Orange,Button Type: Shell,Style: Straight,Length: Mid-Thigh Length,Mid Rise waist,Half Elasticated Waist,This garment has Patch Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Relaxed Fit,Exposed Zip at front",0.00,Melon Orange Handspun Mirror Work Shorts
,"Available for Waist 19"" - 63"" | Petite - Tall,Looking for shorts that you can wear to a beach and lounge in too? Our vegetable-dyed straight fit shorts are what you need. With a banded waist and knife pleats for a contemporary silhouette, these come complete with inseam pockets to carry your stuff. Style these shorts with a white crop top and slide sandals for a relaxed day by the waves.,Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.,Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.,We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.,SKU: WSRT35,---------------------------,HANDSPUN AND HAND WOVEN + VEGETABLE DYED +,When fiber is spun by hand using tools like the spindle and distaff, the yarn is handspun. When these yarns are woven by hand or on an unpowered loom, they form a handspun and hand woven fabric.

It has slight imperfections, but some people call it 'art to wear.' Now, when such fabrics are dyed using vegetable dyes, they become artisanal and good for your skin.

Vegetable dyes, as the name suggests, are derived from everyday vegetables and plants. These fabrics are skin-friendly for you and the artisans, and are environment-friendly.","//cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-966099_160x.jpg?v=1625850728,//cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-990368_160x.jpg?v=1625850728,//cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-233822_160x.jpg?v=1625850728,//cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-658341_160x.jpg?v=1625850728,//cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-695362_160x.jpg?v=1625850728","₹4,020","Primary Fabric: 100% Cotton - Vegetable Dyed in Ahmedabad (Gujarat), Handspun, Hand Woven in Nagri (Tamil Nadu),Pattern: Solid,Color: Blue,Style: Straight,Length: Mid-Thigh Length,Mid Rise waist,Banded waist,This garment has Inseam Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Relaxed Fit,Concealed Zip at left,Knife Pleats at Front",5.00,Blue Vegetable Dyed Straight Fit Shorts
,"Available for Waist 19"" - 63"" | Petite - Tall,Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.,Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.,We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.,SKU: WSRT51,---------------------------,100% COTTON,100% Cotton is the epitome of versatility and longevity. It is breathable and super absorbent, keeping you fresh all day. Cotton does not retain odor and has been a staple fabric for years.,It's good for your skin and the planet.","//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-298788_160x.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-618394_160x.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-946396_160x.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-884463_160x.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-926446_160x.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-272301_160x.jpg?v=1611240888","₹3,400","Primary Fabric: 100% Cotton Denim,This garment is Hand Embroidered,Pattern: Solid,Color: Indigo,Button Type: Metal,Style: Paneled, Short,Length: Mid-Thigh Length,Mid Rise waist,This garment has Slash Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Comfort Fit,Exposed Zip at Front",4.00,Indigo Cotton Denim Paneled Shorts
"Red & Pink,Beige,Olive Green,Teal","Available for Waist 19"" - 63"" | Petite - Tall,A casual getaway, or a sunny day by the beach, these shorts fit every occasion perfectly. Made from soft and breathable cotton flax, they come with the statement mobile pocket to keep your phone safe. All you need more is a pair of slip-ons and glasses to rock your beach game.,Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.,Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.,We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.,SKU: WSRT36,---------------------------,100% COTTON,100% Cotton is the epitome of versatility and longevity. It is breathable and super absorbent, keeping you fresh all day. Cotton does not retain odor and has been a staple fabric for years.,It's good for your skin and the planet.","//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-flax-short-shorts-short-shorts-451621_160x.jpg?v=1625847458,//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-flax-short-shorts-short-shorts-974059_160x.jpg?v=1625847458,//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-flax-short-shorts-short-shorts-621023_160x.jpg?v=1625847458,//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-flax-short-shorts-short-shorts-740813_160x.jpg?v=1625847458,//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-flax-short-shorts-short-shorts-526123_160x.jpg?v=1625847458","₹2,470","Primary Fabric: 100% Cotton,Pattern: Solid,Color: Olive Green,Style: Short,Length: Mid-Thigh Length,Mid Rise waist,Full Elasticated Waist,This garment has Slash Pocket, Mobile Pocket,Number of Pockets: 3,Garment Transparency: Opaque,Relaxed Fit",0.00,Olive Green Solid Cotton Short Shorts
